Year,1000 MT
2012-12-31,18500.0
2011-12-31,18202.0
2010-12-31,18211.0
2009-12-31,17763.0
2008-12-31,17259.0
2007-12-31,17567.0
2006-12-31,15290.0
2005-12-31,15485.0
2004-12-31,15194.0
2003-12-31,13420.0
2002-12-31,13180.0
2001-12-31,11858.0
2000-12-31,11937.0
1999-12-31,10491.0
1998-12-31,9758.0
1997-12-31,8508.0
1996-12-31,9005.0
1995-12-31,8264.0
1994-12-31,7771.0
1993-12-31,7100.0
1992-12-31,7125.0
1991-12-31,6222.0
1990-12-31,6031.0
1989-12-31,6412.0
1988-12-31,5636.0
1987-12-31,4852.0
1986-12-31,4560.0
1985-12-31,4772.0
1984-12-31,3817.0
1983-12-31,3324.0
1982-12-31,3179.0
1981-12-31,3351.0
1980-12-31,2692.0
1979-12-31,2540.0
1978-12-31,2188.0
1977-12-31,1786.0
1976-12-31,1613.0
1975-12-31,1392.0
1974-12-31,1258.0
1973-12-31,1046.0
1972-12-31,813.0
1971-12-31,729.0
1970-12-31,589.0
1969-12-31,431.0
1968-12-31,352.0
1967-12-31,283.0
1966-12-31,226.0
1965-12-31,190.0
1964-12-31,151.0
